sample,file,oldfile_version,newfile_version,patch_size
handsfree,cbprintf.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,149
handsfree,cbprintf_complete.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,744
handsfree,cbprintf_packaged.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,2567
handsfree,configs.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,2274
handsfree,conn.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,5284
handsfree,crc16_sw.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,340
handsfree,crt0.S.obj,zephyr_v2.7.2,zephyr_v3.2.0,291
handsfree,crypto.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,377
handsfree,device.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,962
handsfree,dev_handles.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,193
handsfree,ecc.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,240
handsfree,fprintf.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,215
handsfree,gatt.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,4003
handsfree,gmtime.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,324
handsfree,h4.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1900
handsfree,hci_core.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,5341
handsfree,heap-validate.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,824
handsfree,heap.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1336
handsfree,hex.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,139
handsfree,hfp_hf.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,275
handsfree,hpet.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,650
handsfree,id.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1611
handsfree,init.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,982
handsfree,intc_ioapic.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,503
handsfree,intc_loapic.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,425
handsfree,keys.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,308
handsfree,keys_br.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,219
handsfree,kheap.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,192
handsfree,l2cap.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,5745
handsfree,l2cap_br.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1573
handsfree,mailbox.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,217
handsfree,mem_slab.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,701
handsfree,mmu.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,860
handsfree,msg_q.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,116
handsfree,multiboot.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,137
handsfree,mutex.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,346
handsfree,offsets.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,323
handsfree,onoff.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,204
handsfree,poll.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,382
handsfree,prep_c.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,338
handsfree,printk.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,243
handsfree,qsort.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,750
handsfree,queue.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,243
handsfree,rb.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,505
handsfree,rfcomm.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,504
handsfree,scan.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,783
handsfree,sched.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,2339
handsfree,sdp.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,2387
handsfree,smp.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,6580
handsfree,sprintf.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,237
handsfree,ssp.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,622
handsfree,stack.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,144
handsfree,strncasecmp.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,85
handsfree,strtol.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,375
handsfree,strtoul.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,366
handsfree,sys_clock_init.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,202
handsfree,thread.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1212
handsfree,timeout.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,642
handsfree,timer.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,555
handsfree,timeutil.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1452
handsfree,uart_console.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,376
handsfree,uart_ns16550.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1252
